x,z,y
322.5,8.217058429914292,12
337.5,8.300891814024794,12
352.5,8.267358460380592,12
367.5,8.267358460380592,12
382.5,8.250591783558493,12
397.5,8.217058429914292,12
412.5,8.242208445147442,12
427.5,8.359575182902145,12
442.5,8.300891814024794,12
457.5,8.284125137202693,12
472.5,8.426641890190547,12
487.5,8.544008627945251,12
502.5,8.820658795509909,12
517.5,9.323659100172922,12
532.5,10.128459587633742,12
547.5,11.075776828082418,12
562.5,11.704527208911186,12
577.5,11.411110364524427,12
592.5,11.09254350490452,12
607.5,10.891343383039311,12
622.5,10.983560105560866,12
637.5,11.042243474438218,12
652.5,11.067393489671367,12
667.5,11.344043657236025,12
682.5,11.629077163211733,12
697.5,11.193143565837122,12
712.5,10.128459587633742,12
727.5,9.26497573129557,12
742.5,8.795508780276757,12
757.5,8.5356252895342,12
772.5,9.114075639896663,12
787.5,8.418258551779497,12
802.5,8.334425167668995,12
817.5,8.292508475613744,12
832.5,8.309275152435845,12
847.5,8.242208445147442,12
862.5,8.242208445147442,12
877.5,8.326041829257944,12
892.5,8.326041829257944,12
907.5,8.275741798791643,12
922.5,8.258975121969543,12
937.5,8.275741798791643,12
952.5,8.275741798791643,12
967.5,8.284125137202693,12
982.5,10.472176462486802,12
997.5,8.15837506103694,12
1012.5,8.15837506103694,12
1027.5,8.15837506103694,12
1042.5,8.15837506103694,12
1057.5,8.15837506103694,12
1072.5,8.15837506103694,12
1087.5,8.15837506103694,12
1102.5,8.15837506103694,12
1117.5,8.15837506103694,12
7.5,9.464041279638645,15
22.5,9.464041279638645,15
37.5,9.464041279638645,15
52.5,9.464041279638645,15
67.5,9.464041279638645,15
82.5,10.202532080910132,15
97.5,10.44869568133396,15
112.5,10.9337827762868,15
127.5,11.281307859238089,15
142.5,11.636073048084192,15
157.5,11.925677283876931,15
172.5,12.08495961356294,15
187.5,12.099439825352576,15
202.5,12.041518978194029,15
217.5,11.78811527187538,15
232.5,11.563671989136008,15
247.5,11.165466164920993,15
262.5,10.897582246812709,15
277.5,10.5428170579666,15
292.5,10.180811763225677,15
307.5,9.96360858638112,15
322.5,12.381803955250495,15
337.5,9.797086150800297,15
352.5,9.659524138798744,15
367.5,12.193561201985217,15
382.5,9.652284032903925,15
397.5,9.594363185745378,15
412.5,9.594363185745378,15
427.5,9.594363185745378,15
442.5,9.536442338586829,15
457.5,9.500241809112737,15
472.5,9.536442338586829,15
487.5,9.543682444481648,15
502.5,9.558162656271286,15
517.5,9.57264286806092,15
532.5,9.57264286806092,15
547.5,11.40438965945,15
562.5,12.57004670851578,15
577.5,9.464041279638645,15
592.5,9.464041279638645,15
607.5,9.464041279638645,15
622.5,9.464041279638645,15
637.5,9.464041279638645,15
652.5,9.464041279638645,15
667.5,9.464041279638645,15
682.5,9.464041279638645,15
697.5,9.464041279638645,15
712.5,9.464041279638645,15
727.5,9.464041279638645,15
742.5,9.464041279638645,15
757.5,9.464041279638645,15
772.5,9.464041279638645,15
787.5,9.464041279638645,15
802.5,9.464041279638645,15
817.5,9.464041279638645,15
832.5,9.464041279638645,15
847.5,9.464041279638645,15
862.5,9.464041279638645,15
877.5,9.464041279638645,15
892.5,9.464041279638645,15
907.5,9.464041279638645,15
922.5,9.464041279638645,15
937.5,9.464041279638645,15
